language_iso	trans_ID	language_english	language_name	version	verses
aka	AK1BSG	Akan: Akuapem	Akan: Akuapem	BSG # AKUAPEM-TWI: 2012 Edition	7959
akb	AKBLAI	Batak Angkola	Batak Angkola	LAI # 1991 Edition	7958
ake	AKEBSS	Akawaio	Akawaio	BSS # 2010 Edition	7958
akh	AKHBSP	Angal Heneng	Angal Heneng	BSP # 1978 Edition	7931
akp	AKPWBT	Siwu	Siwu	WBT # 2008 Edition	7959
alj	ALJOMF	Alangan	Alangan	OMF # 1989 Edition	7923
alp	ALPWBT	Alune	Alune	WBT # 2012 Edition	7912
sqi	ALSABV	Albanian	Shqip	ABV # Albanian Bible Version	31102
sqi	ALSBSA	Albanian	Shqip	BSA # Interconfessional Version	7958
alt	ALTIBT	Altai, Southern	Altai, Southern	IBT # 2013 Edition	7950
alz	ALZBSU	Alur	Alur	BSU # 1970 Edition	7957
amp	AM1WBT	Alamblak	Alamblak	WBT # 2013 Edition	7947
ame	AMETBL	Yanesha	Yanesha	TBL # 2014 Edition	7911
amf	AMFSIM	Banna	Banna	SIM # 2014 Edition	7954
amh	AMHEVG	Amharic	Amharic	EVG # 1962 Edition	7944
amh	AMHSDV	Amharic	Amharic	SDV # 2007 Edition	7957
amk	AMKWBT	Ambai	Ambai	WBT # 2010 Edition	7954
amm	AMMWBT	Ama (Papua New Guinea)	Ama (Papua New Guinea)	WBT # 2009 Edition	7954
amn	AMNPNG	Amanab	Amanab	PNG # 2001 Edition	7956
amr	AMRTBL	Amarakaeri	Amarakaeri	TBL # 2008 Edition	7897
amu	AMUMVR	Amuzgo de Guerrero	Amuzgo de Guerrero	MVR # 1999 Edition	7947
ann	ANNWBT	Obolo	Obolo	WBT # 1991 Edition	7956
anv	ANVWBT	Denya	Denya	WBT # 2010 Edition	7944
any	ANYWBT	Anyin	Agni Sanvi	WBT # 1997 Edition	7959
aoj	AO1FIL	Filifita	Filifita	FIL # 1998 Edition	7953
aoj	AOJWBT	Mufian	Mufian	WBT # 1998 Edition	7953
aom	AOMWBT	Omie	Ömie	WBT # 1991 Edition	7940
aon	AONTBL	Arapesh Bumbita	Arapesh Bumbita	TBL # 2003 Edition	7953
aoz	AOZLAI	Timor Dakwan	Timor Dakwan	LAI # 2000 Edition	7953
ape	APEWBT	Bukiyip	Bukiyip	WBT # 1994 Edition	7952
apr	APRWBT	Arop-Lokep	Arop-Lokep	WBT # 2013 Edition	7957
apz	APZWBT	Safeyoka	Safeyoka	WBT # 1988 Edition	7933
arb	ARBWTC	Arabic	العربية	WTC # Easy to Read Version	31103
arl	ARLTBL	Arabela	Arabela	TBL # 2008 Edition	7955
arz	ARZVDV	Arabic	العربية	VDV # Van Dyke Version	31102
asg	ASGWBT	Cishingini	Cishingini	WBT # WBT Version	7955
aso	ASOTBL	Dano	Dano	TBL # 1989 Edition	7911
atb	ATBBSM	Zaiwa	Zaiwa	BSM # 2009 Edition	7959
atg	ATGWYI	Okphela	Okphela	WYI # 2012 Edition	7958
atq	ATQLAI	Aralle-Tabulahan	Aralle-Tabulahan	LAI # 2004 Edition	7942
auy	AUYWBT	Awiyaana	Awiyaana	WBT # 1984 Edition	7932
ava	AVAIBT	Avar	Avar	IBT # 2008 Edition	7952
